"Player","Team","SACK","INT","FR","FF","TD","SAFETY","PA","YDS_AGN","FPTS"
"Philadelphia Eagles","","47.6","13.9","16.1","22.6","3.0","0.0","361.2","5,501.7","125.4"
"Dallas Cowboys","","53.8","11.6","11.6","16.5","3.1","0.0","423.0","5,928.2","118.7"
"Buffalo Bills","","45.5","13.1","14.6","21.3","3.0","0.0","343.7","5,790.9","118.5"
"New York Giants","","53.9","10.4","13.3","19.2","2.8","0.0","414.5","5,832.3","117.8"
"Houston Texans","","47.8","15.9","10.0","14.1","2.9","0.0","347.6","5,437.6","117.1"
"Green Bay Packers","","48.3","12.8","12.7","18.0","2.8","0.0","359.4","5,513.1","116.3"
"Baltimore Ravens","","51.4","13.7","9.6","14.0","2.7","1.0","347.1","5,340.3","115.8"
"Denver Broncos","","53.3","11.8","11.2","15.7","2.7","0.0","345.4","5,389.7","115.7"
"Pittsburgh Steelers","","43.2","13.2","13.8","20.1","3.1","0.0","353.7","5,661.7","115.5"
"Detroit Lions","","45.2","14.3","10.2","14.6","3.0","0.0","370.3","5,738.5","111.9"
"Washington Commanders","","47.1","12.8","11.2","16.0","2.7","0.0","419.3","6,119.3","111.3"
"Chicago Bears","","42.9","13.1","12.0","17.4","2.8","0.0","389.8","5,873.7","109.9"
"Los Angeles Chargers","","46.7","12.9","10.7","15.3","2.6","0.0","365.8","5,810.9","109.6"
"San Francisco 49ers","","43.7","14.1","9.8","14.1","2.7","1.0","392.4","5,616.0","109.4"
"Los Angeles Rams","","47.0","13.5","9.9","14.3","2.5","0.0","374.7","5,892.0","109.0"
"Arizona Cardinals","","43.6","12.7","10.2","14.7","2.7","1.0","392.5","5,807.1","107.6"
"Minnesota Vikings","","46.0","12.6","10.5","15.2","2.6","0.0","357.8","5,266.3","107.6"
"Seattle Seahawks","","44.8","13.9","9.7","13.7","2.6","0.0","341.8","5,566.3","107.4"
"Tampa Bay Buccaneers","","43.1","12.5","11.4","16.6","2.6","0.0","372.8","5,701.3","106.5"
"Indianapolis Colts","","42.6","12.4","10.7","15.8","2.4","1.0","398.5","5,836.2","105.4"
"Kansas City Chiefs","","46.2","12.1","9.6","13.8","2.5","0.0","361.4","5,545.9","104.6"
"Cleveland Browns","","45.5","11.9","9.9","14.5","2.5","0.0","417.2","5,975.1","103.8"
"New York Jets","","42.3","12.7","10.0","14.3","2.6","0.0","376.8","5,356.8","103.5"
"Cincinnati Bengals","","40.4","12.3","10.3","14.9","2.7","0.0","433.2","6,155.1","101.7"
"Atlanta Falcons","","39.8","12.9","10.0","14.5","2.4","0.0","416.0","6,027.3","100.0"
"Tennessee Titans","","40.2","12.7","9.6","13.8","2.5","0.0","397.6","5,762.7","99.6"
"Miami Dolphins","","40.2","12.6","9.2","13.4","2.5","0.0","397.6","5,631.4","98.5"
"Las Vegas Raiders","","43.8","11.7","8.2","12.2","2.4","0.0","408.4","5,645.0","97.8"
"New Orleans Saints","","38.5","13.8","7.1","10.3","2.6","0.0","363.6","5,825.1","96.0"
"Jacksonville Jaguars","","39.6","11.7","7.8","11.1","2.5","0.0","395.3","5,836.4","93.5"
"New England Patriots","","37.9","12.5","8.4","11.7","2.3","0.0","373.5","5,470.0","93.3"
"Carolina Panthers","","35.4","13.1","8.0","11.1","2.4","0.0","430.9","6,223.5","92.1"
""
""
