"Player","Team","ATT","CMP","YDS","TDS","INTS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Lamar Jackson","BAL","436.8","294.1","3,724.5","32.1","7.5","137.4","866.9","3.9","4.5","371.1"
"Josh Allen","BUF","489.5","316.4","3,691.0","28.5","8.4","110.5","556.7","10.4","3.3","364.9"
"Jalen Hurts","PHI","422.7","285.5","3,296.3","23.8","9.0","151.1","685.8","12.2","4.1","352.0"
"Jayden Daniels","WAS","515.9","351.3","3,808.5","26.2","10.8","136.9","762.6","5.6","2.1","351.8"
"Joe Burrow","CIN","600.6","418.7","4,482.1","34.6","10.3","43.9","182.7","2.6","4.0","333.4"
"Patrick Mahomes II","KC","566.4","388.6","4,088.8","29.0","11.6","67.7","333.2","2.9","2.6","313.7"
"Baker Mayfield","TB","517.9","360.2","3,992.3","32.0","15.3","57.9","302.0","2.5","3.7","310.0"
"Kyler Murray","ARI","511.1","356.9","3,696.5","23.9","10.4","81.4","555.7","4.8","4.0","309.8"
"Brock Purdy","SF","499.7","335.0","4,259.4","25.0","12.6","58.5","260.9","4.0","3.2","301.6"
"Bo Nix","DEN","523.5","343.6","3,542.0","25.9","10.9","82.1","410.7","3.7","1.3","294.9"
"Justin Fields","NYJ","478.1","291.4","3,139.5","18.7","11.2","116.8","678.7","6.0","3.2","286.7"
"Dak Prescott","DAL","585.3","387.5","4,127.5","27.0","12.2","43.1","184.4","2.1","2.9","286.2"
"Caleb Williams","CHI","527.6","340.2","3,593.2","23.4","9.9","76.7","484.9","1.1","4.5","273.4"
"Justin Herbert","LAC","506.8","335.1","3,796.1","24.1","8.6","60.1","251.5","2.1","2.6","272.6"
"Jared Goff","DET","510.0","359.2","4,125.8","28.6","11.4","31.1","58.1","0.3","2.6","270.2"
"J.J. McCarthy","MIN","516.8","339.7","3,826.8","26.6","15.4","53.4","242.3","1.4","4.0","268.5"
"Trevor Lawrence","JAC","534.8","349.1","3,820.0","21.9","13.1","54.0","243.8","3.7","3.9","265.7"
"Jordan Love","GB","479.3","311.9","3,800.9","26.7","11.5","36.4","134.3","1.3","2.1","264.4"
"Drake Maye","NE","495.4","331.4","3,329.8","20.9","13.1","75.8","538.5","2.6","4.9","263.3"
"Tua Tagovailoa","MIA","558.1","392.7","4,126.9","25.8","11.4","31.7","93.4","0.4","3.6","261.8"
"C.J. Stroud","HOU","522.5","339.1","3,904.9","23.5","9.8","49.6","232.9","1.0","3.8","261.7"
"Matthew Stafford","LAR","541.9","356.7","4,087.1","26.6","9.5","29.5","48.4","0.4","3.1","261.5"
"Geno Smith","LV","559.7","374.7","3,920.9","21.3","11.9","53.5","248.0","1.7","2.4","260.4"
"Michael Penix Jr.","ATL","508.2","329.3","3,756.2","21.9","14.0","47.5","188.4","2.2","3.1","249.5"
"Bryce Young","CAR","517.3","330.4","3,313.0","21.0","13.1","47.2","282.1","3.1","2.9","244.4"
"Sam Darnold","SEA","527.7","355.5","3,803.2","20.8","15.2","54.0","181.1","1.7","4.1","240.3"
"Cameron Ward","TEN","504.4","318.6","3,468.3","21.0","14.2","61.2","264.3","1.6","3.9","236.5"
"Aaron Rodgers","PIT","514.0","332.0","3,598.2","21.0","9.5","28.1","106.5","0.5","3.0","226.1"
"Anthony Richardson Sr.","IND","341.2","195.9","2,368.6","13.9","12.2","115.0","578.7","5.3","3.8","219.7"
"Russell Wilson","NYG","389.5","249.2","2,618.6","14.0","7.8","43.8","174.3","2.1","2.8","177.4"
"Tyler Shough","NO","365.0","222.4","2,419.8","12.7","10.0","44.6","201.2","1.3","2.9","159.6"
"Daniel Jones","IND","149.6","90.5","994.1","5.2","4.3","42.4","190.2","1.8","1.3","83.2"
"Kenny Pickett","CLE","217.3","133.4","1,375.9","6.3","6.0","16.2","44.6","0.6","1.0","80.2"
"Spencer Rattler","NO","169.0","104.3","1,150.6","5.8","4.4","19.7","118.4","0.2","1.9","74.0"
"Jaxson Dart","NYG","155.3","97.2","1,038.0","5.6","3.9","20.7","94.6","0.8","1.1","72.2"
"Dillon Gabriel","CLE","163.9","101.9","1,069.0","5.2","5.0","16.8","71.1","0.4","1.1","65.9"
"Shedeur Sanders","CLE","132.4","80.9","835.3","4.0","3.8","13.8","59.4","0.3","1.0","51.4"
"Kyle Trask","TB","66.3","42.6","443.6","4.1","1.8","6.5","24.6","0.2","0.5","34.8"
"Jalen Milroe","SEA","25.7","17.1","184.1","1.2","0.9","29.4","146.1","1.1","0.1","32.2"
"Taylor Heinicke","LAC","67.1","41.9","448.1","2.6","1.8","8.5","43.0","0.3","0.5","31.9"
"Joe Flacco","CLE","92.5","56.0","547.5","3.0","3.5","3.0","7.5","0.0","1.0","29.2"
"Jake Browning","CIN","47.9","32.4","352.1","3.2","0.9","5.1","24.0","0.2","0.2","29.0"
"Tyrod Taylor","NYJ","56.6","35.1","382.6","2.0","1.2","10.5","61.0","0.3","0.4","28.8"
"Marcus Mariota","WAS","45.8","30.0","335.2","2.1","0.9","9.8","49.9","0.4","0.3","28.0"
"Jimmy Garoppolo","LAR","45.2","29.9","355.5","2.3","0.9","4.2","13.3","0.1","0.2","24.0"
"Joe Milton III","DAL","47.7","30.7","335.4","2.1","0.8","5.3","21.4","0.2","0.3","23.9"
