"Player","Team","ATT","YDS","TDS","REC","YDS","TDS","FL","FPTS"
" ","","",""
"Saquon Barkley","PHI","301.1","1,581.4","10.0","40.3","314.9","2.1","1.0","259.9"
"Derrick Henry","BAL","280.5","1,468.0","13.5","20.4","199.4","1.2","1.1","252.5"
"Jahmyr Gibbs","DET","219.6","1,162.4","10.7","51.8","490.7","2.9","0.9","245.0"
"Bijan Robinson","ATL","269.5","1,293.6","10.5","56.9","427.7","2.0","1.0","244.9"
"Josh Jacobs","GB","282.0","1,226.0","11.7","38.1","334.5","1.3","1.2","231.2"
"Kyren Williams","LAR","278.2","1,218.8","11.3","35.4","218.7","2.5","2.3","221.6"
"De'Von Achane","MIA","189.2","904.2","7.4","67.6","519.3","5.1","0.9","215.6"
"Jonathan Taylor","IND","295.7","1,368.2","9.2","24.6","185.6","0.9","1.3","213.7"
"Ashton Jeanty","LV","257.0","1,111.5","8.7","48.4","401.4","2.0","2.6","210.0"
"James Cook","BUF","220.7","1,045.7","10.8","33.9","280.6","2.0","1.0","207.3"
"Bucky Irving","TB","234.1","1,136.8","8.0","43.7","349.3","1.8","1.0","205.3"
"Christian McCaffrey","SF","206.3","976.0","6.7","57.3","511.8","2.9","1.6","203.1"
"Joe Mixon","HOU","222.3","909.6","9.6","38.9","327.0","2.2","0.9","192.9"
"Breece Hall","NYJ","225.8","1,015.3","6.4","48.2","422.3","2.3","1.9","192.1"
"James Conner","ARI","217.7","1,004.8","8.0","41.0","330.8","1.7","1.1","189.2"
"Kenneth Walker III","SEA","226.2","937.6","8.9","49.5","343.7","1.3","0.9","186.9"
"Alvin Kamara","NO","213.8","928.6","5.0","65.1","509.7","1.7","0.9","182.1"
"Chase Brown","CIN","197.9","835.6","7.4","53.5","360.2","3.0","1.0","179.8"
"David Montgomery","DET","208.6","865.2","9.9","33.1","279.0","0.5","1.0","174.7"
"D'Andre Swift","CHI","236.4","1,004.1","6.4","38.3","314.8","1.1","1.1","174.5"
"Chuba Hubbard","CAR","228.0","1,031.8","7.7","41.4","217.2","1.0","1.6","173.7"
"Aaron Jones Sr.","MIN","192.9","936.6","4.6","47.2","365.2","2.4","1.6","168.7"
"Omarion Hampton","LAC","197.5","830.9","7.5","32.8","277.4","1.8","2.0","162.4"
"Tony Pollard","TEN","226.0","964.1","5.0","40.8","259.9","0.5","1.0","153.7"
"Brian Robinson Jr.","WAS","195.0","806.4","8.0","24.7","194.7","1.0","1.5","151.3"
