"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Ja'Marr Chase","CIN","113.8","1,510.5","12.2","3.3","20.3","0.1","0.4","226.1"
"Justin Jefferson","MIN","104.1","1,440.8","8.8","1.0","2.5","0.0","0.4","196.3"
"CeeDee Lamb","DAL","112.1","1,371.3","7.6","11.1","62.3","0.2","0.9","188.2"
"Puka Nacua","LAR","104.3","1,384.5","6.2","13.7","73.0","0.9","0.4","187.8"
"Malik Nabers","NYG","104.5","1,306.4","9.1","5.1","13.0","0.1","0.4","186.1"
"Brian Thomas Jr.","JAC","86.7","1,250.7","9.1","5.0","36.3","0.1","0.4","182.7"
"Nico Collins","HOU","85.7","1,234.2","9.0","0.0","1.0","0.0","0.3","176.8"
"Davante Adams","LAR","87.3","1,200.4","9.2","0.5","0.0","0.0","0.2","174.8"
"Amon-Ra St. Brown","DET","107.2","1,196.7","8.7","4.0","25.9","0.1","0.9","173.8"
"A.J. Brown","PHI","79.5","1,187.4","8.7","0.0","0.0","0.0","0.8","169.3"
"Tee Higgins","CIN","88.2","1,114.0","9.8","0.0","0.0","0.0","0.9","168.4"
"Ladd McConkey","LAC","89.6","1,198.3","7.3","0.0","0.0","0.0","0.5","162.8"
"Mike Evans","TB","77.4","1,043.4","9.6","1.1","6.9","0.0","0.2","162.4"
"Drake London","ATL","89.6","1,119.5","8.3","0.5","-0.5","0.0","0.3","161.0"
"Terry McLaurin","WAS","77.2","1,048.9","9.3","2.1","8.6","0.1","0.8","160.2"
"Tyreek Hill","MIA","87.7","1,108.7","7.2","8.0","47.9","0.2","0.3","159.6"
"Xavier Worthy","KC","69.3","875.3","7.9","23.2","117.9","2.2","0.2","159.1"
"Rashee Rice","KC","90.2","1,035.5","7.6","2.4","6.7","0.0","0.5","149.3"
"DK Metcalf","PIT","73.2","1,108.8","6.8","0.0","0.0","0.0","1.4","149.0"
"Marvin Harrison Jr.","ARI","70.6","1,003.9","8.3","0.0","0.0","0.0","0.9","148.2"
"DJ Moore","CHI","88.3","1,014.3","6.9","10.3","58.3","0.1","0.8","148.0"
"Jaxon Smith-Njigba","SEA","90.4","1,044.9","6.4","5.1","29.8","0.1","0.3","146.0"
"Zay Flowers","BAL","68.6","986.9","6.1","9.6","58.7","0.3","0.2","142.3"
"Calvin Ridley","TEN","63.1","998.4","5.6","8.2","47.9","0.7","0.8","141.0"
"Jameson Williams","DET","54.5","904.6","5.7","9.9","95.1","0.9","0.2","138.9"
"Courtland Sutton","DEN","72.9","960.6","7.4","0.0","0.5","0.0","0.8","138.9"
"Jordan Addison","MIN","65.9","879.1","7.7","2.4","16.1","0.5","0.2","138.5"
"George Pickens","DAL","68.3","991.5","6.4","2.0","7.5","0.1","0.9","136.6"
"DeVonta Smith","PHI","77.7","922.2","7.1","0.5","0.5","0.0","0.3","134.5"
"Garrett Wilson","NYJ","84.5","1,017.1","5.4","3.8","15.2","0.1","1.5","133.0"
"Deebo Samuel Sr.","WAS","61.5","777.2","4.6","37.3","152.4","1.8","0.9","129.5"
"Jerry Jeudy","CLE","79.7","1,049.6","3.5","0.5","3.0","0.0","0.3","125.7"
"Keon Coleman","BUF","47.5","832.6","6.7","0.5","4.5","0.0","0.3","123.6"
"Jakobi Meyers","LV","78.4","902.7","5.3","2.5","16.9","0.1","0.3","123.3"
"Rome Odunze","CHI","64.8","909.0","5.3","2.6","15.0","0.1","0.9","123.0"
"Travis Hunter","JAC","69.4","927.2","5.1","3.0","17.4","0.1","1.2","122.8"
"Jayden Reed","GB","54.3","746.9","5.1","16.4","127.6","0.9","0.9","121.5"
"Chris Godwin","TB","75.8","878.8","5.5","1.5","7.5","0.0","0.3","120.7"
"Jaylen Waddle","MIA","73.1","944.9","4.0","4.0","21.2","0.1","0.3","120.7"
"Jauan Jennings","SF","69.4","915.6","4.8","0.0","0.0","0.0","0.3","119.8"
"Matthew Golden","GB","56.5","854.7","5.6","1.0","7.0","0.0","1.2","117.2"
"Darnell Mooney","ATL","60.1","880.2","4.5","0.0","0.5","0.0","0.2","115.0"
"Tetairoa McMillan","CAR","65.6","877.7","4.7","1.0","5.0","0.0","1.2","114.3"
"Cooper Kupp","SEA","73.6","827.2","5.0","2.6","14.1","0.0","0.3","114.0"
"Ricky Pearsall","SF","55.4","783.8","5.0","4.7","48.6","0.1","0.4","113.3"
"Rashid Shaheed","NO","51.8","823.7","4.2","9.1","61.7","0.1","1.3","112.1"
"Khalil Shakir","BUF","72.6","811.9","4.7","0.5","2.0","0.0","0.3","109.2"
"Rashod Bateman","BAL","45.4","703.5","6.4","0.0","1.5","0.0","0.1","108.8"
"Chris Olave","NO","72.3","896.8","3.3","0.5","4.5","0.0","1.4","107.3"
"Quentin Johnston","LAC","48.1","651.7","6.3","2.5","9.0","0.1","0.2","103.8"
"Stefon Diggs","NE","70.1","734.8","4.2","2.4","10.5","0.6","0.2","102.4"
"Marvin Mims Jr.","DEN","43.8","597.8","5.0","20.0","85.3","0.4","0.4","99.8"
"Michael Pittman Jr.","IND","71.6","818.6","3.1","0.0","2.0","0.0","0.8","99.1"
"Christian Kirk","HOU","57.6","763.8","3.5","1.0","3.5","0.0","0.7","96.3"
"Adam Thielen","CAR","66.1","676.5","4.6","0.0","1.0","0.0","0.3","94.5"
"Brandon Aiyuk","SF","48.6","745.2","3.2","0.0","2.5","0.0","0.1","93.7"
"Josh Downs","IND","61.5","693.9","3.9","0.5","5.5","0.0","0.2","93.3"
"Emeka Egbuka","TB","49.1","658.4","4.4","3.2","20.2","0.1","1.2","92.7"
"Xavier Legette","CAR","57.1","622.7","4.4","7.0","37.1","0.1","0.3","92.4"
"Romeo Doubs","GB","49.6","647.1","4.5","0.0","1.0","0.0","0.2","91.1"
"Marquise Brown","KC","55.1","677.5","3.8","0.5","4.0","0.0","0.2","90.5"
"Tre Harris","LAC","49.6","675.6","3.9","1.0","5.0","0.0","1.1","89.4"
"Wan'Dale Robinson","NYG","76.5","683.7","3.2","3.0","19.6","0.0","0.2","89.4"
"Jack Bech","LV","54.8","710.0","3.3","1.0","4.0","0.0","1.2","88.9"
"Cedric Tillman","CLE","55.2","666.4","4.0","1.0","-2.0","0.0","1.3","88.2"
"Michael Wilson","ARI","49.0","584.8","4.6","0.5","3.0","0.0","0.7","84.7"
"Calvin Austin III","PIT","42.7","615.3","4.0","1.0","4.0","0.0","0.7","84.6"
"Jayden Higgins","HOU","45.4","625.9","3.4","1.0","5.0","0.0","0.7","82.2"
"Luther Burden III","CHI","48.4","598.3","3.2","3.2","19.2","0.1","1.1","79.3"
"Jalen McMillan","TB","36.7","468.0","4.9","3.1","28.7","0.0","0.2","79.2"
"DeMario Douglas","NE","57.1","586.9","2.8","3.3","19.6","0.0","0.3","77.0"
"Nick Westbrook-Ikhine","MIA","34.5","489.5","4.7","0.0","0.0","0.0","0.1","76.7"
"Kyle Williams","NE","46.0","567.1","3.2","2.1","13.0","0.1","0.6","76.0"
"Alec Pierce","IND","29.7","548.7","3.6","0.0","0.0","0.0","0.1","76.0"
"Mike Williams","LAC","39.4","571.7","2.9","0.0","0.5","0.0","0.2","74.2"
"Tre Tucker","LV","36.0","467.7","2.9","9.6","56.3","0.7","0.2","73.7"
"Ray-Ray McCloud III","ATL","48.7","529.8","2.4","9.1","70.9","0.2","1.3","73.1"
"DeAndre Hopkins","BAL","33.3","454.7","4.6","0.0","1.0","0.0","0.2","72.9"
"Jalen Tolbert","DAL","36.4","444.0","4.8","0.0","0.0","0.0","0.1","72.9"
"Joshua Palmer","BUF","40.0","543.6","2.9","0.0","1.0","0.0","0.2","71.3"
"Tutu Atwell","LAR","42.9","567.6","2.1","3.1","14.0","0.1","0.2","71.0"
"Tyler Lockett","TEN","44.1","512.6","3.2","0.0","0.0","0.0","0.2","69.9"
"Brandin Cooks","NO","42.6","489.6","3.5","2.5","4.5","0.0","0.2","69.9"
"Darius Slayton","NYG","35.1","534.7","2.5","2.0","12.3","0.1","0.2","69.5"
"Andrei Iosivas","CIN","34.8","435.6","4.3","0.0","0.0","0.0","0.2","69.2"
"Allen Lazard","NYJ","36.2","483.1","3.2","0.0","0.0","0.0","0.1","67.4"
"Pat Bryant","DEN","37.5","470.3","3.3","0.0","0.0","0.0","0.2","66.5"
"Diontae Johnson","CLE","40.3","506.9","2.8","0.0","0.0","0.0","0.4","66.4"
"Christian Watson","GB","24.7","472.0","2.9","4.0","23.8","0.1","0.6","66.1"
"Marquez Valdes-Scantling","SEA","25.7","466.1","2.8","0.5","1.0","0.0","0.1","63.0"
"Adonai Mitchell","IND","30.1","429.2","2.5","5.1","29.7","0.2","0.4","61.7"
"Demarcus Robinson","SF","24.4","405.6","3.4","0.0","2.0","0.0","0.1","60.7"
"Parker Washington","JAC","39.1","456.7","2.1","0.0","0.0","0.0","0.4","57.6"
"Noah Brown","WAS","36.1","460.6","1.9","0.0","0.0","0.0","0.1","57.3"
"Jalen Coker","CAR","33.0","444.6","2.0","0.0","0.5","0.0","0.2","56.0"
"Josh Reynolds","NYJ","28.7","390.4","2.9","0.0","0.0","0.0","0.1","55.9"
"KaVontae Turpin","DAL","25.2","327.8","2.3","12.4","75.6","0.4","0.4","55.9"
"Dyami Brown","JAC","33.4","426.2","2.1","1.0","8.0","0.0","0.7","54.7"
"Jordan Whittington","LAR","30.3","364.9","2.3","4.5","27.4","0.2","0.4","53.6"
"Dontayvion Wicks","GB","26.0","328.3","3.2","0.0","0.0","0.0","0.1","52.1"
"Greg Dortch","ARI","33.4","334.3","2.7","4.7","30.2","0.1","0.7","52.0"
"Curtis Samuel","BUF","31.2","306.1","2.9","7.4","33.2","0.1","0.1","51.6"
"Van Jefferson","TEN","24.3","332.0","2.3","0.0","0.0","0.0","0.2","46.5"
"Devaughn Vele","DEN","29.1","326.4","2.3","0.0","0.0","0.0","0.1","46.0"
"Tim Patrick","DET","24.0","298.5","2.4","0.0","0.0","0.0","0.2","43.8"
"Rondale Moore","MIN","24.3","274.0","1.5","12.9","65.8","0.0","0.1","43.2"
"Luke McCaffrey","WAS","24.9","281.3","1.9","0.0","0.0","0.0","0.3","38.8"
"Malachi Corley","NYJ","23.1","271.4","1.4","4.6","29.3","0.2","0.3","38.8"
"Chimere Dike","TEN","23.3","275.8","1.6","2.1","12.7","0.1","0.2","38.6"
"Jalen Nailor","MIN","21.8","255.0","2.0","0.1","0.7","0.0","0.2","36.9"
"Robert Woods","PIT","26.5","289.1","1.4","0.0","0.0","0.0","0.3","36.4"
"Roman Wilson","PIT","24.1","283.3","1.3","0.0","0.0","0.0","0.3","35.8"
"Jermaine Burton","CIN","18.1","239.8","2.0","0.0","0.0","0.0","0.2","35.5"
"Troy Franklin","DEN","15.7","221.9","1.6","2.2","13.3","0.1","0.2","33.5"
"Jaylin Noel","HOU","20.6","253.9","1.3","0.0","0.0","0.0","0.1","33.2"
"Kayshon Boutte","NE","16.9","230.7","1.6","0.0","0.0","0.0","0.0","32.5"
"Jahan Dotson","PHI","18.8","232.1","1.5","0.0","0.0","0.0","0.1","32.0"
"Malik Washington","MIA","18.9","213.8","1.2","4.0","24.5","0.2","0.2","31.7"
"Elic Ayomanor","TEN","20.1","236.6","1.4","0.0","0.0","0.0","0.1","31.7"
"Bub Means","NO","19.2","252.4","1.2","1.0","4.5","0.0","0.5","31.6"
"Jaylin Lane","WAS","17.3","203.4","1.3","2.1","12.9","0.1","0.1","29.9"
"Mack Hollins","NE","15.0","188.1","1.5","0.0","0.0","0.0","0.1","27.8"
"KhaDarel Hodge","ATL","15.4","210.6","1.2","0.0","0.0","0.0","0.2","27.6"
"Jake Bobo","SEA","16.7","196.2","1.1","0.0","0.0","0.0","0.2","25.7"
"JuJu Smith-Schuster","KC","17.3","184.2","1.2","0.0","0.0","0.0","0.2","25.1"
"Justin Watson","HOU","12.3","177.3","0.9","0.0","0.0","0.0","0.1","22.8"
"Kalif Raymond","DET","15.4","170.5","0.9","0.0","0.0","0.0","0.2","22.3"
"Dont'e Thornton Jr.","LV","14.6","172.7","0.9","0.0","0.0","0.0","0.1","22.3"
"Derius Davis","LAC","10.5","115.8","0.7","8.4","43.8","0.3","0.2","21.9"
"Elijah Moore","BUF","14.5","161.8","1.0","0.0","0.0","0.0","0.1","21.8"
"Kendrick Bourne","NE","13.5","136.6","0.9","2.3","15.5","0.1","0.2","20.5"
"Zay Jones","ARI","13.7","144.1","1.0","0.0","0.0","0.0","0.1","20.0"
"Jalin Hyatt","NYG","11.5","161.0","0.6","0.0","0.0","0.0","0.1","19.5"
"Jonathan Mingo","DAL","9.4","123.8","0.7","0.0","0.0","0.0","0.1","16.2"
"Tai Felton","MIN","9.7","106.0","0.8","0.0","0.0","0.0","0.1","15.5"
"Dante Pettis","NO","8.5","102.8","0.5","2.1","13.6","0.1","0.1","14.8"
"Scotty Miller","PIT","9.6","117.8","0.4","0.0","0.0","0.0","0.1","14.3"
"Johnny Wilson","PHI","8.0","99.6","0.7","0.0","0.0","0.0","0.1","14.0"
"Xavier Smith","LAR","6.5","82.2","0.5","2.2","14.2","0.1","0.1","13.0"
"Savion Williams","GB","6.1","73.1","0.5","2.2","13.5","0.1","0.1","12.4"
"Arian Smith","NYJ","8.6","98.3","0.4","0.0","0.0","0.0","0.1","12.3"
"Charlie Jones","CIN","7.0","87.1","0.6","0.0","0.0","0.0","0.1","12.2"
"Treylon Burks","TEN","6.1","82.6","0.4","2.1","12.4","0.1","0.1","12.1"
"Jalen Royals","KC","6.7","76.9","0.6","0.0","0.0","0.0","0.0","11.1"
"Olamide Zaccheaus","CHI","6.8","68.8","0.4","2.2","13.0","0.1","0.1","11.1"
"Erik Ezukanma","MIA","6.6","85.7","0.4","0.0","0.0","0.0","0.1","11.1"
"Ja'Lynn Polk","NE","6.3","78.8","0.6","0.0","0.0","0.0","0.1","11.0"
"Isaac TeSlaa","DET","6.3","77.8","0.5","0.0","0.0","0.0","0.0","10.9"
"Sterling Shepard","TB","6.2","69.1","0.6","0.0","0.0","0.0","0.1","10.6"
"Devontez Walker","BAL","5.3","68.6","0.6","0.0","0.0","0.0","0.1","10.6"
"Nick Nash","ATL","6.6","74.5","0.4","0.0","0.0","0.0","0.0","10.0"
"Cody White","SEA","6.0","79.0","0.4","0.0","0.0","0.0","0.1","10.0"
"Austin Trammell","JAC","6.4","77.4","0.3","0.0","0.0","0.0","0.1","9.5"
"Jacob Cowing","SF","5.1","70.1","0.4","0.0","0.0","0.0","0.1","9.3"
"David Moore","CAR","6.0","70.5","0.4","0.0","0.0","0.0","0.1","9.1"
"Ainias Smith","PHI","4.2","48.3","0.3","2.6","15.4","0.1","0.1","8.9"
"Michael Woods II","CLE","6.1","75.2","0.2","0.0","0.0","0.0","0.1","8.8"
"Zach Pascal","NYG","5.9","67.2","0.4","0.0","0.0","0.0","0.1","8.7"
"Tommy Mellott","LV","3.5","40.6","0.2","4.1","24.8","0.2","0.0","8.6"
"Xavier Gipson","NYJ","5.2","64.1","0.3","0.0","0.0","0.0","0.1","8.1"
"KeAndre Lambert-Smith","LAC","3.3","37.6","0.2","2.1","12.7","0.1","0.0","7.1"
"Jamari Thrash","CLE","5.0","54.4","0.2","0.0","0.0","0.0","0.1","6.5"
"Ashton Dulin","IND","3.9","49.5","0.3","0.0","0.0","0.0","0.0","6.4"
"Ben Skowronek","PIT","5.1","53.8","0.2","0.0","0.0","0.0","0.0","6.2"
"Jalen Brooks","DAL","3.1","40.6","0.3","0.0","0.0","0.0","0.0","5.7"
"Trent Sherfield Sr.","DEN","2.9","37.4","0.3","0.0","0.0","0.0","0.0","5.4"
"Michael Gallup","WAS","3.2","37.1","0.3","0.0","0.0","0.0","0.0","5.2"
