Pos,Team,Name,Bye,Points
RB,BAL,Derrick Henry,7,332.45
RB,PHI,Saquon Barkley,9,324.92
RB,ATL,Bijan Robinson,5,324.52
QB,BAL,Lamar Jackson,7,422.12
RB,GB,Josh Jacobs,5,316.48
WR,CIN,Ja'Marr Chase,10,317.79
RB,DET,Jahmyr Gibbs,8,307.2
QB,PHI,Jalen Hurts,9,411.15
QB,BUF,Josh Allen,7,406.88
RB,IND,Jonathan Taylor,11,299.65
RB,LAR,Kyren Williams,8,295.08
QB,CIN,Joe Burrow,10,398.02
QB,WAS,Jayden Daniels,12,392.95
RB,LV,Ashton Jeanty,8,271.53
RB,BUF,James Cook,7,259.72
RB,SF,Christian McCaffrey,14,254.99
RB,TB,Bucky Irving,9,249
QB,DEN,Bo Nix,12,338.31
QB,KC,Patrick Mahomes,10,335.67
RB,CIN,Chase Brown,10,230.31
RB,MIA,DeVon Achane,12,230.05
WR,HOU,Nico Collins,6,233.09
RB,NYJ,Breece Hall,9,226.84
WR,JAC,Brian Thomas,8,229.09
TE,ARI,Trey McBride,8,187.64
RB,LAC,Omarion Hampton,12,223.92
WR,MIN,Justin Jefferson,6,227.02
WR,DAL,CeeDee Lamb,10,225.9
QB,ARI,Kyler Murray,8,327.78
RB,SEA,Kenneth Walker,8,220.29
RB,ARI,James Conner,8,219.99
WR,PHI,A.J. Brown,9,222.95
WR,LAR,Puka Nacua,8,221.73
RB,DET,David Montgomery,8,218.21
TE,LV,Brock Bowers,8,180.42
WR,MIA,Tyreek Hill,12,221.11
WR,NYG,Malik Nabers,14,220.06
QB,SF,Brock Purdy,14,320.97
WR,CIN,Tee Higgins,10,217.15
WR,WAS,Terry McLaurin,12,215.77
RB,CAR,Chuba Hubbard,14,211.47
WR,LAC,Ladd McConkey,12,211.51
TE,SF,George Kittle,14,169.8
RB,WAS,Brian Robinson,12,206.24
RB,HOU,Joe Mixon,6,205.48
WR,ATL,Drake London,5,208.37
QB,LAC,Justin Herbert,12,310
WR,DET,Amon-Ra St.Brown,8,207.06
RB,TEN,Tony Pollard,10,202.92
RB,NO,Alvin Kamara,11,202.4
TE,DET,Sam LaPorta,8,162.7
QB,JAC,Trevor Lawrence,8,302.9
RB,KC,Isiah Pacheco,10,197.39
WR,PIT,DK Metcalf,5,198.66
RB,PIT,Jaylen Warren,5,195.25
QB,MIN,J.J. McCarthy,6,299.06
WR,KC,Xavier Worthy,10,196.45
QB,NE,Drake Maye,14,298.2
WR,ARI,Marvin Harrison,8,195.15
WR,PHI,DeVonta Smith,9,194.97
RB,MIN,Aaron Jones,6,191.74
QB,DET,Jared Goff,8,296.89
WR,TB,Mike Evans,9,194.78
WR,DET,Jameson Williams,8,194.47
WR,LAR,Davante Adams,8,193.66
QB,HOU,C.J. Stroud,6,294
WR,DEN,Courtland Sutton,12,191.69
QB,TB,Baker Mayfield,9,292.91
QB,DAL,Dak Prescott,10,292.88
WR,CHI,DJ Moore,5,190.3
WR,NYJ,Garrett Wilson,9,187.69
WR,SEA,Jaxon Smith-Njigba,8,180.56
WR,TEN,Calvin Ridley,10,180.43
RB,LAC,Najee Harris,12,175.84
RB,CLE,Quinshon Judkins,9,175.78
TE,GB,Tucker Kraft,5,137.49
QB,CHI,Caleb Williams,5,280.37
RB,PIT,Kaleb Johnson,5,171.42
RB,DEN,RJ Harvey,12,171.08
TE,CLE,David Njoku,9,132.16
QB,GB,Jordan Love,5,275.02
TE,KC,Travis Kelce,10,131.38
TE,PHI,Dallas Goedert,9,131.27
QB,CAR,Bryce Young,14,273.18
TE,MIN,T.J. Hockenson,6,130.29
RB,DAL,Javonte Williams,10,167.99
WR,JAC,Travis Hunter,8,171.19
TE,BAL,Mark Andrews,7,130.13
WR,MIN,Jordan Addison,6,170.13
WR,BAL,Zay Flowers,7,169.85
WR,MIA,Jaylen Waddle,12,169.57
RB,NE,TreVeyon Henderson,14,166.28
WR,LV,Jakobi Meyers,8,168.9
WR,CLE,Jerry Jeudy,9,168.86
RB,NYG,Tyrone Tracy,14,164.9
QB,LAR,Matthew Stafford,8,268.63
RB,CHI,D'Andre Swift,5,161.45
WR,ATL,Darnell Mooney,5,164
RB,CLE,Jerome Ford,9,157.9
WR,DAL,George Pickens,10,160.8
WR,BUF,Khalil Shakir,7,159.36
WR,CHI,Rome Odunze,5,156.71
RB,JAC,Bhayshul Tuten,8,152.9
WR,CAR,Tetairoa McMillan,14,153.23
RB,SF,Isaac Guerendo,14,148.67
RB,SEA,Zach Charbonnet,8,144.31
WR,WAS,Deebo Samuel,12,145.13
RB,MIN,Jordan Mason,6,138.6
RB,ARI,Trey Benson,8,132.16
RB,ATL,Tyler Allgeier,5,129.64
RB,TEN,Tyjae Spears,10,125.07
RB,JAC,Travis Etienne,8,121.81
TE,WAS,Zach Ertz,12,124.85
TE,DEN,Evan Engram,12,118.57
TE,DAL,Jake Ferguson,10,116.27
QB,NYJ,Justin Fields,9,256.71
TE,BUF,Dalton Kincaid,7,113.5
QB,MIA,Tua Tagovailoa,12,255.16
QB,IND,Anthony Richardson,11,254.91
QB,LV,Geno Smith,8,250.34
TE,PIT,Pat Freiermuth,5,104.53
WR,BUF,Keon Coleman,7,143.28
TE,MIA,Darren Waller,12,101.84
TE,NE,Hunter Henry,14,100.96
TE,BAL,Isaiah Likely,7,100.34
QB,PIT,Aaron Rodgers,5,242.64
QB,TEN,Cam Ward,10,242.11
TE,CHI,Colston Loveland,5,98.84
TE,HOU,Dalton Schultz,6,98.13
WR,SF,Ricky Pearsall,14,138.63
TE,IND,Tyler Warren,11,97.14
TE,NYG,Theo Johnson,14,97.04
TE,ATL,Kyle Pitts,5,96.98
TE,CIN,Mike Gesicki,10,96.72
TE,PIT,Jonnu Smith,5,96.2
QB,SEA,Sam Darnold,8,238.78
WR,BAL,Rashod Bateman,7,136.23
QB,ATL,Michael Penix,5,236.73
WR,NO,Chris Olave,11,133.83
WR,DEN,Marvin Mims,12,133.49
WR,HOU,Christian Kirk,6,133.29
WR,SF,Jauan Jennings,14,132.34
WR,IND,Michael Pittman,11,132.18
WR,KC,Rashee Rice,10,131.74
WR,GB,Jayden Reed,5,128.57
WR,LAC,Quentin Johnston,12,126.63
TE,NO,Juwan Johnson,11,85.38
TE,LAR,Tyler Higbee,8,84.73
WR,NO,Rashid Shaheed,11,125.35
TE,TEN,Chig Okonkwo,10,84.42
RB,BUF,Ray Davis,7,121.23
WR,NE,Stefon Diggs,14,123.57
RB,LAR,Blake Corum,8,120.08
WR,CLE,Cedric Tillman,9,122.73
RB,WAS,Austin Ekeler,12,118.37
TE,NYJ,Mason Taylor,9,78.34
WR,GB,Matthew Golden,5,115.72
RB,NYG,Cam Skattebo,14,111.47
WR,ARI,Michael Wilson,8,114.39
WR,SEA,Cooper Kupp,8,113.97
TE,TB,Cade Otton,9,72.53
RB,MIA,Jaylen Wright,12,110.08
WR,TB,Jalen McMillan,9,112.43
RB,NE,Rhamondre Stevenson,14,108.89
RB,DAL,Miles Sanders,10,108.64
TE,SEA,Elijah Arroyo,8,70.78
TE,CAR,Ja'Tavion Sanders,14,70.47
WR,IND,Alec Pierce,11,110.75
WR,IND,Josh Downs,11,110.7
TE,LAC,Will Dissly,12,69.72
WR,CAR,Xavier Legette,14,110.6
WR,NYG,Wan'Dale Robinson,14,109.64
WR,GB,Romeo Doubs,5,109.44
TE,KC,Noah Gray,10,68.51
TE,JAC,Brenton Strange,8,66.63
RB,CLE,Dylan Sampson,9,100.51
WR,NE,DeMario Douglas,14,103.49
WR,TB,Chris Godwin,9,102.95
RB,JAC,Tank Bigsby,8,99.69
WR,KC,Marquise Brown,10,102.55
WR,SF,Brandon Aiyuk,14,102.26
TE,CHI,Cole Kmet,5,58.31
TE,SEA,AJ Barner,8,58.17
RB,CAR,Rico Dowdle,14,95.7
RB,NYJ,Braelon Allen,9,95.63
WR,LAR,Tutu Atwell,8,97.76
TE,BUF,Dawson Knox,7,56.16
WR,LV,Jack Bech,8,96.24
WR,TEN,Tyler Lockett,10,95.65
WR,LAC,Tre Harris,12,95.28
TE,CLE,Harold Fannin,9,54.29
TE,NO,Foster Moreau,11,53.92
RB,CHI,Roschon Johnson,5,89.96
WR,PIT,Calvin Austin,5,92.72
RB,GB,Emanuel Wilson,5,89.32
RB,BAL,Justice Hill,7,88.57
RB,TB,Rachaad White,9,88.07
RB,BUF,Ty Johnson,7,87.76
TE,CAR,Tommy Tremble,14,49.89
WR,CAR,Adam Thielen,14,90.56
WR,TB,Emeka Egbuka,9,90.48
TE,LV,Michael Mayer,8,48.75
TE,LAC,Tyler Conklin,12,45.71
RB,PHI,Will Shipley,9,83.02
WR,NYG,Darius Slayton,14,85.32
TE,NE,Austin Hooper,14,43.21
TE,JAC,Johnny Mundt,8,42.52
WR,ATL,Ray-Ray McCloud,5,82.91
WR,NE,Mack Hollins,14,82.81
RB,NYJ,Isaiah Davis,9,78.88
WR,NO,Brandin Cooks,11,80.24
RB,DEN,J.K. Dobbins,12,77
WR,JAC,Dyami Brown,8,80.1
WR,MIN,Jalen Nailor,6,79.64
RB,CHI,Kyle Monangai,5,75.74
WR,SEA,M. Valdes-Scantling,8,78.42
WR,BUF,Joshua Palmer,7,78.39
QB,IND,Daniel Jones,11,180.33
TE,MIN,Josh Oliver,6,36.18
WR,NE,Kyle Williams,14,76.55
WR,CIN,Andrei Iosivas,10,74.81
TE,TEN,Gunnar Helm,10,33.13
TE,WAS,Ben Sinnott,12,33.1
TE,CIN,Drew Sample,10,32.77
TE,DEN,Adam Trautman,12,31.84
RB,HOU,Dameon Pierce,6,68.69
RB,GB,MarShawn Lloyd,5,68.48
WR,DAL,Jalen Tolbert,10,70.97
RB,NYG,Devin Singletary,14,67.24
WR,LV,Tre Tucker,8,68.91
RB,TB,Sean Tucker,9,65.56
WR,CAR,Jalen Coker,14,68.72
WR,DEN,Pat Bryant,12,67.61
RB,KC,Elijah Mitchell,10,64
RB,CIN,Tahj Brooks,10,63.29
RB,DEN,Jaleel McLaughlin,12,63.11
WR,NYJ,Josh Reynolds,9,65.82
RB,NO,Devin Neal,11,62.34
RB,KC,Kareem Hunt,10,61.57
RB,CIN,Samaje Perine,10,60.92
WR,BAL,DeAndre Hopkins,7,64.06
RB,NE,Antonio Gibson,14,60.35
WR,HOU,Jayden Higgins,6,62.81
WR,DAL,KaVontae Turpin,10,62.76
WR,MIA,Malik Washington,12,61.79
WR,NYJ,Allen Lazard,9,60.98
WR,DEN,Devaughn Vele,12,60.18
RB,HOU,Nick Chubb,6,53.5
WR,TEN,Elic Ayomanor,10,56.51
RB,MIA,Alexander Mattison,12,52.47
WR,WAS,Noah Brown,12,54.96
RB,DAL,Jaydon Blue,10,51.75
WR,ARI,Greg Dortch,8,52.9
RB,LV,Raheem Mostert,8,49.44
QB,NO,Tyler Shough,11,154.35
WR,GB,Dontayvion Wicks,5,52.3
WR,TEN,Chimere Dike,10,51.79
WR,WAS,Luke McCaffrey,12,50.22
WR,CIN,Jermaine Burton,10,50.15
RB,NO,Cam Akers,11,46.78
WR,CHI,Luther Burden,5,49.98
WR,GB,Savion Williams,5,49.83
WR,BUF,Curtis Samuel,7,46.51
RB,GB,Chris Brooks,5,43.09
WR,DET,Tim Patrick,8,44.11
RB,DEN,Audric Estime,12,38.29
